"id","espn_id","team_name","conference","division","feed","in_store","color","bundle_id","wiki","youtube"
"6028","221","Pittsburgh","Big East","","http://pipes.yahoo.com/pipes/pipe.run?_id=a8fdca4a79e1818a5069364c3e3da277&_render=rss","TRUE","000000","com.reflect7.PittsburghFanFB","http://en.wikipedia.org/wiki/Pittsburgh_Panthers_football","http://www.youtube.com/results?search_query=%2BFootball""Pittsburgh""Panthers%2B2011%2C+this+month&aq=f"
"6030","58","South Florida","Big East","","http://pipes.yahoo.com/pipes/pipe.run?_id=90fcd5a6dbe05cacbca34d36ad3ec686&_render=rss","TRUE","025440","com.reflect7.SouthFloridaFanFB","http://en.wikipedia.org/wiki/South_Florida_Bulls_football","http://www.youtube.com/results?search_query=%2BFootball""South Florida""Bulls%2B2011%2C+this+month&aq=f"
"6033","356","Illinois","Big Ten","Leaders","http://pipes.yahoo.com/pipes/pipe.run?_id=f1997f66b614944fc1a63d809502d160&_render=rss","TRUE","FF6600","com.reflect7.IllinoisFanFB","http://en.wikipedia.org/wiki/Illinois_Fighting_Illini_football","http://www.youtube.com/results?search_query=%2BFootball""Illinois""Fighting Illini%2B2011%2C+this+month&aq=f"
"6034","84","Indiana","Big Ten","Leaders","http://pipes.yahoo.com/pipes/pipe.run?_id=085e4638b899b9d01359c698500b40cd&_render=rss","TRUE","ffc322","com.reflect7.IndianaFanFB","http://en.wikipedia.org/wiki/Indiana_Hoosiers_football","http://www.youtube.com/results?search_query=%2BFootball""Indiana""Hoosiers%2B2011%2C+this+month&aq=f"
"6035","2294","Iowa","Big Ten","Legends","http://pipes.yahoo.com/pipes/pipe.run?_id=93912d1f4a43ed18c1f4be33d89b5592&_render=rss","TRUE","000000","com.reflect7.IowaFanFB","http://en.wikipedia.org/wiki/Iowa_Hawkeyes_football","http://www.youtube.com/results?search_query=%2BFootball""Iowa""Hawkeyes%2B2011%2C+this+month&aq=f"
"6036","130","Michigan","Big Ten","Legends","http://pipes.yahoo.com/pipes/pipe.run?_id=gCtHubky3hGQByDJDYSbGg&_render=rss","TRUE","00284F","com.reflect7.MichiganFanFB","http://en.wikipedia.org/wiki/Michigan_Wolverines_football","http://www.youtube.com/results?search_query=%2BFootball""Michigan""Wolverines%2B2011%2C+this+month&aq=f"
"6037","127","Michigan State","Big Ten","Legends","http://pipes.yahoo.com/pipes/pipe.run?_id=f17fb0272d7b2db06ad6a73427aefe1a&_render=rss","TRUE","006633","com.reflect7.MichiganStFanFB","http://en.wikipedia.org/wiki/Michigan_State_Spartans_football","http://www.youtube.com/results?search_query=%2BFootball""Michigan State""Spartans%2B2011%2C+this+month&aq=f"
"6038","135","Minnesota","Big Ten","Legends","http://pipes.yahoo.com/pipes/pipe.run?_id=c29b5dfe9a5a0f0508ff788aa5ff00c5&_render=rss","TRUE","33006B","com.reflect7.MinnesotaFanFB","http://en.wikipedia.org/wiki/Minnesota_Golden_Gophers_football","http://www.youtube.com/results?search_query=%2BFootball""Minnesota""Golden Gophers%2B2011%2C+this+month&aq=f"
"6040","194","Ohio State","Big Ten","Leaders","http://pipes.yahoo.com/pipes/pipe.run?_id=VCmndLgy3hGoB1JL6icw5g&_render=rss","TRUE","CE0E00","com.reflect7.OhioStFanFB","http://en.wikipedia.org/wiki/Ohio_State_Buckeyes_football","http://www.youtube.com/results?search_query=%2BFootball""Ohio State""Buckeyes%2B2011%2C+this+month&aq=f"
"6041","213","Penn State","Big Ten","Leaders","http://pipes.yahoo.com/pipes/pipe.run?_id=451e2439f159a94d4bde7fa9b3c4ad87&_render=rss","TRUE","00002F","com.reflect7.PennStFanFB","http://en.wikipedia.org/wiki/Penn_State_Nittany_Lions_football","http://www.youtube.com/results?search_query=%2BFootball""Penn State""Nittany Lions%2B2011%2C+this+month&aq=f"
"6045","248","Houston","Conference USA","West","http://pipes.yahoo.com/pipes/pipe.run?_id=33e5d5e459f10f102e85f22596c875c8&_render=rss","TRUE","9E1818","com.reflect7.HoustonFanFB","http://en.wikipedia.org/wiki/Houston_Cougars_football","http://www.youtube.com/results?search_query=%2BFootball""Houston""Cougars%2B2011%2C+this+month&aq=f"
"6058","87","Notre Dame","IA Independents","","http://pipes.yahoo.com/pipes/pipe.run?_id=rNobZyoy3hGtK6bMwTSbTQ&_render=rss","TRUE","020266","com.reflect7.NotreDameFanFB","http://en.wikipedia.org/wiki/Notre_Dame_Fighting_Irish_football","http://www.youtube.com/results?search_query=%2BFootball""Notre Dame""Fighting Irish%2B2011%2C+this+month&aq=f"
"6073","252","Brigham Young","IA Independents","","http://pipes.yahoo.com/pipes/pipe.run?_id=1102e820908f3400d6e356bc918651c4&_render=rss","TRUE","002754","com.reflect7.BrighamYoungFanFB","http://en.wikipedia.org/wiki/Brigham_Young_Cougars_football","http://www.youtube.com/results?search_query=%2BFootball""BYU""Cougars%2B2011%2C+this+month&aq=f"
"6077","2628","TCU","Mountain West","","http://pipes.yahoo.com/pipes/pipe.run?_id=883d245158dabd00c391340b43922879&_render=rss","TRUE","330066","com.reflect7.TexasChristianFanFB","http://en.wikipedia.org/wiki/Texas_Christian_Horned_Frogs_football","http://www.youtube.com/results?search_query=%2BFootball""Texas Christian""Horned Frogs%2B2011%2C+this+month&aq=f"
"6079","254","Utah","Pacific-12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=52dea9329d142c5f93a0ab37dd5abe99&_render=rss","TRUE","1a2b5a ","com.reflect7.UtahFanFB","http://en.wikipedia.org/wiki/Utah_Utes_football","http://www.youtube.com/results?search_query=%2BFootball""Utah""Utes%2B2011%2C+this+month&aq=f"
"6083","25","California","Pacific-12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=2a6833469215a4491d8eb714f685562b&_render=rss","TRUE","000066","com.reflect7.CaliforniaFanFB","http://en.wikipedia.org/wiki/California_Golden_Bears_football","http://www.youtube.com/results?search_query=%2BFootball""California""Golden Bears%2B2011%2C+this+month&aq=f"
"6084","2483","Oregon","Pacific-12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=cc4453cfdab7e865ccafaa6e1eec9674&_render=rss","TRUE","003300","com.reflect7.OregonFanFB","http://en.wikipedia.org/wiki/Oregon_Ducks_football","http://www.youtube.com/results?search_query=%2BFootball""Oregon""Ducks%2B2011%2C+this+month&aq=f"
"6085","204","Oregon State","Pacific-12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=4c9ebfd74b672ec698875d94e375b369&_render=rss","TRUE","000000","com.reflect7.OregonStFanFB","http://en.wikipedia.org/wiki/Oregon_State_Beavers_football","http://www.youtube.com/results?search_query=%2BFootball""Oregon State""Beavers%2B2011%2C+this+month&aq=f"
"6088","30","USC","Pacific-12","South","http://pipes.yahoo.com/pipes/pipe.run?_id=jD79Liky3hGVQOHp_g6H4A&_render=rss","TRUE","750000","com.reflect7.USCFanFB","http://en.wikipedia.org/wiki/Southern_California_Trojans_football","http://www.youtube.com/results?search_query=%2BFootball""USC""Trojans%2B2011%2C+this+month&aq=f"
"6089","264","Washington","Pacific-12","North","http://pipes.yahoo.com/pipes/pipe.run?_id=90a1c34e8943838de00b1db5735b291a&_render=rss","TRUE","660803","com.reflect7.WashingtonFanFB","http://en.wikipedia.org/wiki/Washington_Huskies_football","http://www.youtube.com/results?search_query=%2BFootball""Washington""Huskies%2B2011%2C+this+month&aq=f"
